型号,模具型号,线径,1组头线角度,2组头线角度,3组头线角度,分度补偿,尾线角度,正转圈数,反转圈数,1叠加瓣数,2叠加瓣数,3叠加瓣数,绕线组数,绕线瓣数,叠加圈数,槽满率
12006,266,2,0,20,40,26.3,100,4,4,0,0,0,3,6,0,mid
142,2811,3.5,0,80,160,64.8,100,4,4,0,0,0,3,6,0,mid
2110-1100,2811,3,0,80,160,1,90,6,5,3,1,1,3,6,2,high
270-112,270,2,0,80,160,-1,100,7,7,3,1,1,3,6,2,mid
290A-2,2733,3.2,0,40,80,6.3,100,5,4,4,0,0,3,6,2,mid
29B,Z29B,4.2,0,34.286,68.571,9.823,68.576,4,4,0,0,1,3,7,2,mid
414,266,2,0,40,80,76.3,100,6,5,4,0,0,3,6,2,mid
52099,F672,3,0,20,40,11.6,100,5,4,5,0,0,3,6,2,mid
56005,D880,1.5,0,20,40,-1,100,7,7,0,0,0,3,6,0,mid
57014,57008,4,0,20,40,7.5,100,3,3,1,1,1,3,6,1,mid
58024,F522,3.2,0,40,80,7.5,100,5,4,4,0,0,3,6,2,mid
674-1,2811,4,0,20,70,7.6,100,4,3,0,0,0,3,6,0,mid
82704,D809,2,0,17.143,34.285,53.143,68.576,5,4,6,0,0,3,7,2,mid
D809,D809,2,0,17.143,34.285,53.143,68.576,6,6,0,0,0,3,7,0,mid
D821A,D821,2,0,40,80,7.5,100,7,6,4,0,0,3,6,2,mid
D823,D809,2,0,17.143,34.285,53.143,68.576,4,4,0,0,0,3,7,0,mid
D833,D880,2,0,10,20,7,100,6,5,0,0,0,3,6,0,mid
D844,Z28,2,0,40,80,7.5,100,6,5,0,0,1,3,6,2,mid
D862,1818,1.8,0,20,40,7.5,90,9,9,5,0,0,3,6,2,mid
F5062,1818,2.5,0,40,80,10.5,90,7,7,0,0,0,3,6,0,mid
F506F,1818,2.5,0,40,80,1,100,4,4,0,0,0,3,6,0,mid
F508,24065,2.5,0,20,40,9.8,100,6,5,0,0,0,3,6,0,mid
F511,Z28,2.5,0,40,80,4.5,100,4,4,0,0,1,3,6,1,none
F521,D809,3,0,20,100,10.1,100,6,6,0,0,1,3,6,2,mid
F521-2,D809,2,0,20,100,10.1,100,5,4,0,0,1,3,6,2,mid
F522,F522,3,0,20,70,9.8,100,5,4,0,0,0,3,6,0,mid
F524-ND607,F524,2,0,70,110,0,100,5,5,0,0,1,3,6,2,mid
F534,Z27,1.5,0,20,40,100,6.5,9,8,0,0,0,3,6,0,mid
F536,Z27,1.5,0,20,40,9.5,100,9,8,0,0,0,3,6,0,mid
F538,24065,1.5,0,40,80,8,100,10,9,0,0,1,3,6,2,mid
F572,515,2.5,0,20,70,9.6,100,7,6,0,0,0,3,6,0,mid
F574,Z28,3.4,0,20,40,12.6,90,4,3,0,0,0,3,6,0,mid
F579,F579,2,0,80,160,7,100,5,4,0,1,2,3,6,2,mid
F5841,526,4,0,70,110,7.5,100,3,2,0,0,1,3,6,1,mid
F591,515,2,0,20,40,8.2,100,4,4,0,0,0,3,6,0,mid
F598,26A,2.5,0,20,40,7.5,100,6,6,0,0,0,3,6,0,mid
F600,24065,1.3,0,40,80,8,100,5,5,0,0,0,3,6,0,mid
F6002,24065,1.8,0,40,80,8,100,10,9,0,0,0,3,6,0,mid
F6012,Z28,1.8,0,40,80,2.8,100,7,7,0,0,1,3,6,1,mid
F6021-1,Z28,2.5,0,40,80,2,100,7,7,0,0,1,3,6,2,mid
F607,R321,2.5,0,70,110,9,100,4,4,0,0,1,3,6,1,mid
F619A,F579,2,0,40,80,26.3,100,5,4,0,0,1,3,6,1,high
F631,Z28,3,0,40,80,4.5,100,4,3,0,0,0,3,6,0,mid
F674,2811,4,0,20,70,7.4,100,4,3,0,0,0,3,6,0,mid
JFZ235,235,1.8,0,70,110,6,100,8,7,0,0,1,3,6,2,mid
JFZ270,F672,2,0,80,160,1,100,7,7,3,1,1,3,6,2,mid
JFZ2811,2811,2.5,0,80,160,8,100,7,6,3,1,1,3,6,2,high
R206,2811,2.8,0,80,160,34.8,100,6,5,0,0,0,3,6,0,mid
R211,R323,3,0,40,80,0,90,5,5,4,0,0,3,6,2,mid
R221,R323,3.2,0,40,80,7,120,5,5,4,0,0,3,6,2,mid
R223,Z28,2.5,0,40,80,3,100,4,3,0,0,1,3,6,1,mid
R2232,Z28,1.5,0,40,80,5,100,7,7,0,0,1,3,6,2,mid
R224,2732,2,0,20,40,6.8,90,4,4,0,0,0,3,6,0,mid
R227,24065,2,0,20,40,9.8,100,5,4,0,0,0,3,6,0,mid
R228,24065,1.8,0,40,80,47.2,100,5,4,0,0,0,3,6,0,mid
R231,EP12,1,0,20,40,75.5,100,6,5,0,0,0,3,6,0,mid
R232,EP12,1,0,20,40,75.5,90,11,11,0,0,0,3,6,0,mid
R236,2108,2.5,0,40,80,7.5,100,4,4,0,0,1,3,6,1,mid
R240,Z28,2.5,0,20,40,1,100,6,6,5,0,0,3,6,2,mid
R244,2733,2,0,20,40,56.3,100,7,6,0,0,0,3,6,0,mid
R255A,2732,1.8,0,20,40,27,100,8,7,0,0,0,3,6,0,mid
R291L,266,2,0,20,40,66.3,100,5,4,0,0,0,3,6,0,mid
R311,R311,2,0,20,40,20.1,90,6,6,0,0,0,3,6,0,none
R321,R321,2,0,40,160,9.4,100,6,5,3,1,1,3,6,2,mid
R323,R323,3.5,0,20,40,7,120,3,3,1,1,1,3,6,1,mid
R389,Z28,2.5,0,40,80,5,100,4,4,0,0,1,3,6,1,mid
